Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY 50","10,699.60","10,862.55","10,637.15","10,829.35","88.00","0.82","6,670.79","20,983.50","12,103.05","10,004.55","-6.50","-4.43"
"ZEEL","330.00","354.30","326.55","350.50","21.55","6.55","80.92","278.06","518.40","288.30","-30.68","-2.85"
"UPL","518.00","550.35","514.05","550.05","32.00","6.18","42.97","230.73","709.05","388.10","-15.37","-14.74"
"VEDL","129.30","138.35","127.55","136.40","7.35","5.70","163.58","220.52","246.90","125.30","-36.50","-18.86"
"YESBANK","56.40","61.25","54.75","59.45","3.15","5.60","3,093.68","1,821.87","395.50","53.20","-84.70","-34.42"
"BPCL","312.10","330.80","308.35","329.35","16.35","5.22","46.70","150.17","421.70","238.55","-7.94","-8.27"
"ONGC","116.35","123.45","115.75","122.65","5.70","4.87","100.08","120.08","185.40","115.75","-28.65","-15.18"
"M&M","511.00","536.30","509.25","536.00","24.20","4.73","28.08","147.80","993.00","502.55","-44.35","-4.13"
"GRASIM","691.40","740.00","680.05","720.00","31.45","4.57","30.99","221.72","1,093.00","680.05","-31.14","-18.51"
"IOC","117.00","124.15","116.25","122.70","4.90","4.16","80.58","97.21","170.75","105.25","-20.01","-16.73"
"COALINDIA","180.85","189.40","180.15","187.80","6.95","3.84","114.47","211.82","299.75","177.70","-35.03","-13.87"
"IBULHSGFIN","449.95","479.60","436.00","467.00","16.45","3.65","266.15","1,238.50","1,298.80","425.50","-63.34","-27.09"
"TATAMOTORS","108.90","111.60","107.65","111.50","3.80","3.53","411.79","450.99","282.00","106.20","-56.60","-28.62"
"GAIL","120.70","126.15","119.50","124.65","4.00","3.32","101.33","125.30","197.43","119.50","-67.56","-10.06"
"NTPC","115.00","118.95","114.10","118.50","3.75","3.27","92.84","108.26","146.17","106.67","-27.90","-10.94"
"SUNPHARMA","415.00","429.95","408.90","427.90","13.35","3.22","54.80","230.61","679.30","344.55","-33.10","-0.55"
"TATASTEEL","333.00","348.95","330.35","343.50","9.80","2.94","112.10","383.44","647.60","330.35","-39.91","-25.30"
"HINDALCO","173.60","181.95","172.15","181.60","5.05","2.86","70.73","125.16","259.75","171.60","-17.85","-10.59"
"RELIANCE","1,239.00","1,284.00","1,226.50","1,276.00","29.25","2.35","97.41","1,225.63","1,417.50","1,016.40","0.52","0.19"
"JSWSTEEL","214.50","223.60","213.75","221.70","4.70","2.17","49.78","109.57","427.55","208.75","-34.72","-15.80"
"HDFC","1,999.00","2,058.05","1,973.00","2,057.10","43.00","2.13","34.21","690.89","2,357.85","1,644.50","7.91","-3.81"
"BAJAJFINSV","6,773.00","6,963.00","6,581.00","6,900.00","132.65","1.96","6.14","418.01","8,580.00","4,955.00","-2.71","-3.77"
"BAJFINANCE","3,118.00","3,200.00","2,998.00","3,170.05","55.95","1.80","31.44","983.99","3,762.00","1,912.20","9.54","-3.26"
"TCS","2,214.95","2,259.90","2,213.90","2,250.00","34.00","1.53","28.26","634.29","2,292.50","1,784.35","10.56","6.51"
"SBIN","267.10","275.25","262.70","271.35","2.80","1.04","352.12","950.10","373.80","247.40","-10.28","-20.70"
"BRITANNIA","2,425.40","2,502.00","2,402.20","2,464.50","23.75","0.97","6.29","155.48","3,467.18","2,300.00","-64.28","-9.73"
"ADANIPORTS","346.40","354.15","339.65","348.35","3.30","0.96","22.47","78.19","430.60","292.10","-9.40","-12.86"
"BHARTIARTL","354.00","358.95","350.50","355.95","3.20","0.91","45.90","163.11","378.75","253.99","-3.77","3.59"
"ASIANPAINT","1,569.90","1,583.35","1,555.65","1,582.80","12.60","0.80","9.85","154.51","1,609.55","1,118.00","13.48","10.74"
"ULTRACEMCO","3,838.00","3,899.40","3,791.10","3,868.00","29.85","0.78","7.84","301.30","4,904.95","3,260.45","-11.02","-14.79"
"INFY","796.45","809.95","795.80","801.25","5.55","0.70","68.95","553.32","809.95","599.85","-42.66","1.42"
